"";"L0_1";"L0_2";"A1_1";"A1_2";"C1";"Y1";"L1";"M2_1";"M2_2";"C2";"Y2"
"1";0;1;0;0;0;0;84,3772785404275;1;0;0;0
"2";1;1;1;0;0;0;56,7983224581379;0;1;0;1
"3";1;1;0;1;0;0;68,8437364123261;1;0;1;NA
"4";1;0;0;0;0;0;78,6558284887099;1;0;0;0
"5";1;1;0;0;0;0;61,3352947721802;1;0;0;0
"6";1;1;0;0;0;0;69,8196290350085;0;1;0;0
"7";0;1;0;0;0;0;42,7972968061954;1;0;0;0
"8";0;1;0;0;0;0;26,7274853149783;1;0;0;0
"9";1;1;1;0;0;0;51,6586220885918;1;0;0;0
"10";0;1;0;0;0;0;29,3175062433445;1;0;0;0
"11";1;0;0;0;0;1;NA;NA;NA;NA;NA
"12";0;0;0;0;0;0;54,6981064594714;0;0;0;0
"13";0;0;0;1;0;0;36,3007338884402;1;0;0;0
"14";1;1;0;1;0;0;39,7773727018219;1;0;0;0
"15";0;1;0;0;1;NA;NA;NA;NA;NA;NA
"16";1;0;0;1;0;0;49,615072058671;1;0;0;0
"17";0;0;0;0;0;0;46,1254077382094;0;0;0;0
"18";0;0;1;0;0;0;73,0909055739916;1;0;0;0
"19";0;0;0;1;0;1;NA;NA;NA;NA;NA
"20";0;1;0;1;0;0;75,7259559929398;0;1;0;0
"21";0;0;0;1;0;0;60,771476456072;1;0;0;1
"22";0;1;0;0;0;0;38,5611657298687;1;0;0;0
"23";0;0;1;0;0;0;62,5871695409782;1;0;0;0
"24";0;1;1;0;0;1;NA;NA;NA;NA;NA
"25";0;0;1;0;0;1;NA;NA;NA;NA;NA
"26";1;1;0;0;0;0;77,1925691387735;1;0;0;0
"27";0;1;0;1;0;0;75,9753937671753;0;1;0;0
"28";1;0;0;0;0;1;NA;NA;NA;NA;NA
"29";1;1;0;1;0;0;74,1147795524357;0;1;0;1
"30";0;1;0;1;0;1;NA;NA;NA;NA;NA
"31";0;0;0;1;0;0;63,9879512342152;1;0;0;0
"32";0;1;1;0;0;0;58,9086446978084;0;1;0;1
"33";0;1;1;0;0;0;32,8357408039205;1;0;0;0
"34";0;0;0;1;0;0;41,2009712757926;0;1;0;1
"35";0;1;0;1;1;NA;NA;NA;NA;NA;NA
"36";1;1;0;0;1;NA;NA;NA;NA;NA;NA
"37";0;1;1;0;0;0;59,4355965743293;1;0;0;1
"38";0;1;0;1;0;0;59,9834571367656;1;0;0;0
"39";1;1;0;1;0;0;45,8105335256631;1;0;0;0
"40";1;1;0;1;0;0;81,2846346772154;1;0;0;1
"41";1;0;0;0;0;0;68,4649238086274;0;1;1;NA
"42";1;1;0;1;0;1;NA;NA;NA;NA;NA
"43";0;0;1;0;0;0;25,2460464125474;1;0;0;0
"44";1;0;0;1;0;0;82,8970897734885;1;0;0;0
"45";0;1;1;0;0;0;75,9480718458368;1;0;0;0
"46";0;1;0;1;0;0;32,3543905908522;1;0;0;0
"47";1;1;0;1;0;1;NA;NA;NA;NA;NA
"48";0;0;0;1;0;0;59,5348373041352;1;0;0;0
"49";0;1;1;0;0;0;44,8891254129746;1;0;1;NA
"50";1;0;0;1;0;0;50,9234241358597;1;0;0;0
"51";0;1;0;1;0;0;37,359252081301;0;1;0;0
"52";0;1;1;0;0;0;48,7260463514728;1;0;0;1
"53";1;1;0;0;0;0;54,0779966940998;0;1;0;0
"54";0;1;0;0;0;0;52,871068870193;1;0;1;NA
"55";0;0;0;0;0;0;34,8649820515699;1;0;0;0
"56";0;0;0;0;0;0;33,8911727603967;1;0;0;1
"57";0;0;0;0;0;0;46,2179829997757;1;0;0;1
"58";1;0;0;0;0;0;47,0249463224902;1;0;1;NA
"59";0;0;0;0;0;0;49,04436862822;1;0;0;0
"60";1;1;0;1;0;0;61,2913066059063;1;0;0;0
"61";1;1;1;0;0;0;50,051994293496;1;0;1;NA
"62";0;1;0;1;0;1;NA;NA;NA;NA;NA
"63";0;1;0;0;1;NA;NA;NA;NA;NA;NA
"64";0;0;1;0;0;0;47,0398519349796;1;0;0;0
"65";0;1;0;1;0;0;68,2162568810221;1;0;0;0
"66";1;1;0;1;0;0;44,426951618941;1;0;0;1
"67";0;1;1;0;0;0;78,555597621639;1;0;0;1
"68";0;1;0;0;0;0;52,5510839588802;1;0;0;1
"69";0;1;0;1;0;0;68,0298548017493;1;0;0;1
"70";1;1;0;1;0;0;96,9370958271557;0;1;0;0
"71";0;1;0;1;0;0;44,3775309478503;1;0;0;1
"72";1;0;1;0;0;0;55,2784903586277;0;0;0;1
"73";0;1;1;0;0;1;NA;NA;NA;NA;NA
"74";1;1;0;1;0;1;NA;NA;NA;NA;NA
"75";0;1;0;0;0;0;32,3797912526543;1;0;0;0
"76";0;0;0;0;0;0;57,8122289841097;1;0;1;NA
"77";0;0;1;0;0;0;69,7390710906378;1;0;0;0
"78";0;0;0;0;0;0;86,7051421575678;1;0;0;0
"79";0;1;0;1;0;0;40,770624719285;0;1;0;0
"80";1;1;0;0;0;0;39,8599305038157;1;0;0;0
"81";1;1;0;0;0;0;74,5791546629369;1;0;0;0
"82";0;1;0;0;0;1;NA;NA;NA;NA;NA
"83";0;0;0;1;0;0;55,4699091661213;1;0;0;1
"84";0;0;1;0;0;0;65,5671364994973;1;0;0;1
"85";0;1;0;1;0;0;47,5612812281966;1;0;0;0
"86";1;1;0;0;0;1;NA;NA;NA;NA;NA
"87";0;0;0;0;0;0;34,7280426434524;1;0;0;0
"88";0;1;1;0;0;0;72,2568607928614;1;0;0;0
"89";0;1;0;1;0;1;NA;NA;NA;NA;NA
"90";1;1;1;0;0;0;51,1273277397177;1;0;0;1
"91";0;1;0;1;0;1;NA;NA;NA;NA;NA
"92";1;0;0;1;0;0;56,4581473429583;1;0;0;0
"93";0;1;0;1;0;0;51,7763060131614;1;0;0;1
"94";0;1;0;1;1;NA;NA;NA;NA;NA;NA
"95";0;0;0;0;0;1;NA;NA;NA;NA;NA
"96";0;0;1;0;0;0;38,0780646031452;0;1;0;0
